Date,Symbol,Open,High,Low,Close,Volume,,
25-11-2010,ULTRACEMCO,1139,1141.8,1123,1135.65,1129002,,
26-11-2010,ULTRACEMCO,1133,1159,1105,1123.55,641934,,
29-11-2010,ULTRACEMCO,1123.55,1158.45,1123.55,1155.2,1113772,,
30-11-2010,ULTRACEMCO,1156.05,1175,1110.65,1137.6,4001641,,
01-12-2010,ULTRACEMCO,1110.6,1156.95,1108.6,1148.3,867315,,
02-12-2010,ULTRACEMCO,1140,1150,1082,1090.5,333090,,
03-12-2010,ULTRACEMCO,1094,1116.2,1074,1110.5,283496,,
06-12-2010,ULTRACEMCO,1122.5,1122.5,1108,1111.05,130377,,
07-12-2010,ULTRACEMCO,1100,1189,1100,1123.55,473062,,
08-12-2010,ULTRACEMCO,1132.8,1132.8,1079.05,1100.3,140072,,
09-12-2010,ULTRACEMCO,1080,1106.5,1061,1082.5,67095,,
10-12-2010,ULTRACEMCO,1070.05,1108,1045.5,1097.1,523398,,
13-12-2010,ULTRACEMCO,1089.95,1108.35,1073.2,1077.8,82602,,
14-12-2010,ULTRACEMCO,1079,1089.8,1055,1067.6,90737,,
15-12-2010,ULTRACEMCO,1062.25,1077.15,1044,1053.4,128473,,
16-12-2010,ULTRACEMCO,1058.8,1066,1045,1060.5,314701,,
20-12-2010,ULTRACEMCO,1060,1075,1053.25,1074.6,129233,,
21-12-2010,ULTRACEMCO,1075,1080,1068.55,1073,156228,,
22-12-2010,ULTRACEMCO,1062.85,1074,1053.3,1063.65,48544,,
23-12-2010,ULTRACEMCO,1057,1074.95,1050,1054.1,50119,,
24-12-2010,ULTRACEMCO,1055.05,1063.8,1040,1050.5,75614,,
27-12-2010,ULTRACEMCO,1050,1060.15,1036,1054.6,111275,,
28-12-2010,ULTRACEMCO,1050,1068.9,1048.05,1054.1,42405,,
29-12-2010,ULTRACEMCO,1054.05,1075,1047.1,1070.55,103737,,
30-12-2010,ULTRACEMCO,1072,1074,1051.5,1069.15,232928,,
31-12-2010,ULTRACEMCO,1063.1,1087,1060,1084.25,68746,,
03-01-2011,ULTRACEMCO,1085,1098.6,1080.05,1087.7,114830,,
04-01-2011,ULTRACEMCO,1086.25,1099.75,1071.15,1090.2,144318,,
05-01-2011,ULTRACEMCO,1072.5,1089.35,1055,1072.55,66346,,
06-01-2011,ULTRACEMCO,1068.3,1077.95,1005.35,1010.85,132194,,
07-01-2011,ULTRACEMCO,1009,1019,980,987.75,57196,,
10-01-2011,ULTRACEMCO,999.9,1002,968.1,995.45,54879,,
11-01-2011,ULTRACEMCO,1009,1033.7,998.7,1013.7,82402,,
12-01-2011,ULTRACEMCO,1020,1030,1000.35,1007.7,51876,,
13-01-2011,ULTRACEMCO,1001.05,1048.7,1001.05,1038.65,194443,,
14-01-2011,ULTRACEMCO,1039.95,1039.95,993.95,1020.7,44574,,
17-01-2011,ULTRACEMCO,1027,1037,1007,1010.75,69969,,
18-01-2011,ULTRACEMCO,1007,1025.05,1007,1019.25,32023,,
19-01-2011,ULTRACEMCO,1030,1030,1007.1,1014.4,24236,,
20-01-2011,ULTRACEMCO,1005,1054.8,1001,1033.8,77757,,
21-01-2011,ULTRACEMCO,1031.9,1044.5,1015.8,1024,22787,,
24-01-2011,ULTRACEMCO,1019.95,1024.5,1009.5,1017.75,32146,,
25-01-2011,ULTRACEMCO,1049.9,1049.9,1016,1023.1,123169,,
27-01-2011,ULTRACEMCO,1030,1030,988,1004.85,235938,,
28-01-2011,ULTRACEMCO,1010.5,1010.5,994,997.9,145636,,
31-01-2011,ULTRACEMCO,990,1197.45,971,1002.8,126353,,
01-02-2011,ULTRACEMCO,1014,1018.9,992,996.1,245077,,
02-02-2011,ULTRACEMCO,1002,1014,986.05,999.85,128802,,
03-02-2011,ULTRACEMCO,1000,1014,999.95,1005.3,408520,,
04-02-2011,ULTRACEMCO,1033.65,1033.65,996,1006.85,323791,,
07-02-2011,ULTRACEMCO,1011,1024,986.1,993.35,104833,,
08-02-2011,ULTRACEMCO,994.4,999,942.25,953.4,105297,,
09-02-2011,ULTRACEMCO,950.05,953.35,886,897.25,120443,,
10-02-2011,ULTRACEMCO,903,923.9,883.4,917.3,224235,,
11-02-2011,ULTRACEMCO,910.05,924.4,898.05,914.8,109057,,
14-02-2011,ULTRACEMCO,917,945.9,917,936.4,42529,,
15-02-2011,ULTRACEMCO,936,953.9,921,946,53279,,
16-02-2011,ULTRACEMCO,945,949,926.3,938.45,46628,,
17-02-2011,ULTRACEMCO,936.05,950,936.05,939.85,27930,,
18-02-2011,ULTRACEMCO,946,976,935.05,946.1,115233,,
21-02-2011,ULTRACEMCO,930.05,968.45,927.05,961.25,51489,,
22-02-2011,ULTRACEMCO,958,970.05,933.05,956.35,280978,,
23-02-2011,ULTRACEMCO,955.4,976.7,945,968.9,172107,,
24-02-2011,ULTRACEMCO,967,974.75,958.55,967.15,217634,,
25-02-2011,ULTRACEMCO,952.6,982.45,952.6,959.2,184440,,
28-02-2011,ULTRACEMCO,942.2,974.8,925,930.8,64250,,
01-03-2011,ULTRACEMCO,925,965,925,955.85,45974,,
03-03-2011,ULTRACEMCO,930.6,983,920.3,973.95,31344,,
04-03-2011,ULTRACEMCO,983,1016.7,967,1009.75,145996,,
07-03-2011,ULTRACEMCO,1008,1022,990,1008.7,63194,,
08-03-2011,ULTRACEMCO,1007.95,1032.9,1007.95,1025.05,270198,,
09-03-2011,ULTRACEMCO,1034.45,1034.45,1014,1020,121672,,
10-03-2011,ULTRACEMCO,1020,1027.05,1011,1017.65,106798,,
11-03-2011,ULTRACEMCO,1014.9,1022,1001.7,1014.75,56373,,
14-03-2011,ULTRACEMCO,1008.95,1037.5,1003.05,1030.4,207549,,
15-03-2011,ULTRACEMCO,992.6,1029,992.6,1019.5,99741,,
16-03-2011,ULTRACEMCO,1014.95,1032,1014.95,1027.15,117703,,
17-03-2011,ULTRACEMCO,1019.95,1025.95,1016,1023.6,361406,,
18-03-2011,ULTRACEMCO,1009.3,1049.4,1009.3,1036.75,127049,,
21-03-2011,ULTRACEMCO,1033.95,1047.8,1001.1,1017.2,267687,,
22-03-2011,ULTRACEMCO,1007.55,1034,1007.55,1022.05,192035,,
23-03-2011,ULTRACEMCO,1018,1030.95,1017,1021.55,126849,,
24-03-2011,ULTRACEMCO,1016.1,1039.5,1016.1,1032.85,111649,,
25-03-2011,ULTRACEMCO,1044.4,1057,1033.4,1050.45,156849,,
28-03-2011,ULTRACEMCO,1042.95,1074,1042.95,1069.65,185034,,
29-03-2011,ULTRACEMCO,1065.95,1098,1061,1088.9,215000,,
